stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
5710AWA10152,,"Abergele Road",,51.518529107,-3.108235351,,,0,,,0
5710AWA10198,,"Abergele Road",,51.517878516,-3.112370328,,,0,,,0
5710AWA10197,,"Abergele Road",,51.518128861,-3.112520553,,,0,,,0
5710AWA11160,,"Aberporth Road",,51.501962553,-3.206970882,,,0,,,0
5710AWA11154,,"Aberporth Road",,51.504481629,-3.219010745,,,0,,,0
5720WDB47297,,"Adams Funeral Home",,51.40338348,-3.274890128,,,0,,,0
5710AWA10817,,"Adamsdown Square",,51.481926216,-3.162106635,,,0,,,0
5720VGA02598,,"Adar y mor",,51.393062189,-3.268940048,,,0,,,0
5710AWA11643,,"Adelaide Street",,51.463888825,-3.168552043,,,0,,,0
5710AWA11642,,"Adelaide Street",,51.464024719,-3.168495342,,,0,,,0
5710AWA10279,,"Ael y Bryn",,51.509464185,-3.158593628,,,0,,,0
5710AWA10278,,"Ael y Bryn",,51.509430077,-3.158405435,,,0,,,0
5710AWA11189,,"Ael y Bryn",,51.524403561,-3.260033878,,,0,,,0
5710AWA11188,,"Ael y Bryn",,51.524358145,-3.260277241,,,0,,,0
5720AWA11796,,"Aeron Close",,51.406069735,-3.286624933,,,0,,,0
5720AWA11986,,"Albert Road",,51.439546639,-3.171800871,,,0,,,0
5720AWA11987,,"Albert Road",,51.439749517,-3.172194536,,,0,,,0
5720WDB48423,,"Albert Road",,51.439100024,-3.173300142,,,0,,,0
5720WDB48422,,"Albert Road",,51.439452925,-3.173078983,,,0,,,0
5710AWA11468,,"Albert Street",,51.48137328,-3.199745062,,,0,,,0
5710AWA11469,,"Albert Street",,51.481511218,-3.200324724,,,0,,,0
5720CBX02464,,"Alberta Road",,51.42943936,-3.171829913,,,0,,,0
5710AWA10546,,"Alder Road",,51.499244967,-3.170810512,,,0,,,0
5710AWA10334,,Aldi,,51.529187137,-3.151814254,,,0,,,0
5710AWA10333,,Aldi,,51.529311151,-3.152004793,,,0,,,0
5720AWA11849,,"Alexandra Gardens",,51.404609979,-3.283622301,,,0,,,0
5720AWA11850,,"Alexandra Gardens",,51.404932792,-3.282883735,,,0,,,0
5710AWA10253,,"Alfred Street",,51.493681877,-3.167815789,,,0,,,0
5720AWA11806,,"All Saints",,51.398457617,-3.288696918,,,0,,,0
5720AWA10727,,Alps,,51.458271743,-3.26653067,,,0,,,0
5720AWA11800,,"Alwen Drive",,51.408349608,-3.293532935,,,0,,,0
5710AWA10632,,"Amesbury Road",,51.496581852,-3.156466168,,,0,,,0
5710AWA11611,,"Amherst Street",,51.463150886,-3.181618448,,,0,,,0
5710AWA11569,,"Amroth Road",,51.478141057,-3.242442625,,,0,,,0
5710AWA11515,,"Amroth Road",,51.477985049,-3.241041587,,,0,,,0
5720AWA11699,,"Andover Close",,51.416529019,-3.294655464,,,0,,,0
5720AWA12389,,"Andrew Road",,51.444992669,-3.193495802,,,0,,,0
5720AWA12388,,"Andrew Road",,51.445151936,-3.192866814,,,0,,,0
5710AWA10910,,"Angle Place",,51.532723541,-3.199984776,,,0,,,0
5710AWA10909,,"Angle Place",,51.532477877,-3.200266657,,,0,,,0
5710AWA10261,,"Angus Street",,51.49376426,-3.16676634,,,0,,,0
